0.35419,0.83943,0.28727,0.43569,1.51670,0.75798,0.93348,1.23154,0.66081,1.13633,0.88516,1.33053,0.05413,0.13409,0.32477,0.80455,0.77778,0.77778,400.00000
0.38144,0.87077,0.32038,0.51636,1.61173,0.80047,1.01623,1.26954,0.65972,1.13821,0.86396,1.31450,0.06036,0.14145,0.36218,0.84868,0.66667,0.66667,500.00000
0.37740,0.86793,0.33056,0.43453,1.31452,0.81310,0.93223,1.14652,0.70120,1.17155,0.91770,1.35477,0.05934,0.14057,0.35602,0.84339,0.44444,0.44444,400.00000
0.40408,0.89693,0.30080,0.45183,1.50209,0.77563,0.95061,1.22560,0.69120,1.16587,0.84664,1.30126,0.06324,0.14476,0.37947,0.86859,0.44444,0.44444,650.00000
0.37532,0.86440,0.29100,0.44010,1.51237,0.76289,0.93819,1.22978,0.67824,1.15258,0.87145,1.32019,0.05900,0.13997,0.35397,0.83983,0.33333,0.33333,350.00000
0.36708,0.85551,0.31558,0.42765,1.35515,0.79445,0.92483,1.16411,0.65863,1.13637,0.86632,1.31630,0.05734,0.13811,0.34406,0.82865,0.44444,0.44444,400.00000
0.41591,0.91002,0.32047,0.53503,1.66950,0.80059,1.03444,1.29209,0.74344,1.20747,0.94765,1.37670,0.06450,0.14644,0.38702,0.87867,0.22222,0.22222,200.00000
0.43848,0.93630,0.41353,0.47513,1.14897,0.90942,0.97481,1.07190,0.74344,1.20932,0.97132,1.39378,0.07172,0.15461,0.43032,0.92764,0.44444,0.44444,0.00000
0.41112,0.90540,0.34357,0.47883,1.39369,0.82894,0.97860,1.18055,0.71767,1.18751,0.90772,1.34738,0.06535,0.14739,0.39212,0.88436,0.55556,0.55556,100.00000
0.39876,0.88868,0.30445,0.51917,1.70530,0.78032,1.01899,1.30587,0.70274,1.17352,0.92414,1.35952,0.06092,0.14197,0.36554,0.85179,0.66667,0.66667,600.00000
0.38231,0.87052,0.22655,0.47269,2.08642,0.67313,0.97230,1.44445,0.68023,1.15388,0.95430,1.38152,0.05896,0.13940,0.35378,0.83642,0.22222,0.22222,300.00000
0.45336,0.95134,0.38964,0.50374,1.29283,0.88277,1.00373,1.13703,0.75584,1.22029,0.91244,1.35088,0.07172,0.15452,0.43034,0.92713,0.44444,0.44444,550.00000
0.49532,0.99299,0.36410,0.60175,1.65270,0.85335,1.09704,1.28557,0.78746,1.24693,0.93262,1.36574,0.07625,0.15909,0.45749,0.95457,0.44444,0.44444,350.00000
0.33013,0.81056,0.26419,0.39217,1.48439,0.72690,0.88563,1.21836,0.61880,1.10020,0.78788,1.25529,0.05118,0.13037,0.30709,0.78225,0.55556,0.55556,350.00000
0.35943,0.84599,0.29050,0.43682,1.50371,0.76223,0.93469,1.22626,0.67203,1.14623,0.89936,1.34116,0.05613,0.13658,0.33678,0.81947,0.33333,0.33333,650.00000
